Startup,URL,Business Description,Funding Stage, Total funding (US$),Opportunity Space,Opportunity Space 2,Founded,Country,Industry,Maturity,Competitor,Competitor Category,Acquisition Cost (US$),Activity/Acquisition Time
Orbityl,https://www.orbityl.co/,Orbityl develops smart earplugs that can monitor the sleep quality and state of the user. The earplugs are developed using an EEG sensor that can monitor the user's brain activity to get insights about their sleep quality and habits. Using this the data a 3-week personalised sleep training program is created to help the user in improving their sleeping habits and sleep quality. The earplugs use active noise cancellation to block outside noises. The earplugs have a smart alarm feature that wakes up the user when they are in their lightest stage of sleep.,Unfunded,,Improving Sleep,Personalised sleep remedies,2017,Canada,,,,,,
Beddr Sleep,https://www.beddrsleep.com/,Beddr offers a wearable device to track the breathing and sleeping positions to analyze sleep quality. ,Series A,9450000,Improving Sleep,Personalised sleep remedies,2016,USA,,,,,,
Snoooze,https://www.snoooze.co/,"Snoooze is an all-natural sleep drink for healthy, working adults who’d like to enjoy healthy, natural sleep, especially in times of stress.",Undisclosed,,Improving Sleep,,2017,Austria,,,,,,
Som Sleep,https://getsom.com/,"The scientifically advanced Som Stack  includes ingredients that are naturally found in body, a healthy diet, and green tea",Undisclosed,,Improving Sleep,,2017,USA,,,,,,
NOX Sleep Drink,https://www.noxsleepdrink.com/,"A natural sleeping drink made of velerian, tilia, passiflora, which makes it easier to fall asleep, sleep through better and wake up feeling rested.",Unfunded,,Improving Sleep,,2015,Netherlands,,,,,,
Rebloom,https://rebloom.com/,"Giving people a good night's sleep night after night,made of L-Theanine,Melatonin,Lavender, Valerian, Chamomile, Vitamin B-12,VitaminE, Magnesium. ",Unfunded,,Improving Sleep,,2008,USA,,,,,,
Sleep Well Milk,https://sleepwellmilk.com/,A sleeping milk drink produce with valerian that blend well with creamy whole Jersey milk.,Undisclosed,,Improving Sleep,,2017,England,,,,,,
Goodnight Drink,https://goodnightdrink.com/,Good Night is a 250ml can with natural herbal extracts that contains herbal extracts of lemon balm and hops.,Unfunded,,Improving Sleep,,2009,Czech Republic,,,,,,
Bearaby,https://bearaby.com/,"Bearaby is an internet first brand of bedding products. They claim the products are made from natural materials.The simple science of sleeping under weight goes back to Deep Touch Pressure therapy, which is highly beneficial for the body.",Unfunded,,Improving Sleep,,2018,USA,,,,,,
Sleepace,http://www.sleepace.com/,"Sleepace offers a sleep tracking device called RestOn that can monitor user's sleep quality. It does this by tracking the user’s sleep time, heart rate, respiratory rate, body movement and sleep cycles. ",Series B,17700000,Improving Sleep,Sleep Tech,2012,China,,,,,,
Nyxoah,https://www.nyxoah.com/,Nyxoah is developing a minimally invasive neurostimulation device for obstructive sleep apnea treatments.,Series C,88700000,Improving Sleep,,2009,Belgium,,,,,,
Eight,https://www.eightsleep.com/,"Eight is an internet-first brand of mattress and smart mattress cover that is controlled via smartphone. It allows the user to set the temperature of the mattress independently for each user, as well as monitoring vitals such as breathing and heart-rate. ",Series C,87400000,Improving Sleep,Luxury sleep,2014,USA,,,,,,
Dozaa,https://www.dozee.io/,"Dozee is a sleep tracking mattress which contains sensors to measure and record ambient conditions and recommends improvements such as the lighting, temperature and humidity to improve quality of sleep.",Seed,252000,Improving Sleep,,2015,India,,,,,,
BAM Labs,https://www.bamlabs.com/,"BAM Labs Biometric Sensor is a sleep monitoring device. SleepIQ technology – a proprietary, touch-free, non-intrusive and intuitive technology was developed by Select Comfort and BAM Labs. ",Series B,19700000,Improving Sleep,,2006,USA,,,,,,
Circadia,https://circadia.health/,"Circadia offers sleep system to track, diagnose and treat sleep problems. The device is placed at the bed-side and tracks the sleep patterns such as snoring and disturbances for two individuals. ",Seed,250000,Improving Sleep,,2016,England,,,,,,
Tatch,https://www.tatchhealth.com/,"Tatch provides sleep monitoring devices. It provides smart patches to perform sleep test at home. It also monitors oxygen level, heart rate, snoring, and body position. The patch connects with its app to analyze the results.",Series A,5640000,Improving Sleep,,2017,USA,,,,,,
Sleepiz,https://sleepiz.com/,Sleepiz offers the sleepiz device that which is a contact-less sleep monitoring device. There are no additional wearables or wires. It provides insights into sleep cycles and sleeping environment. The device can be used while traveling as well.,Seed,10200,Improving Sleep,,2016,Switzerland,,,,,,
Juvolabs,https://www.juvolabs.com/,"Juvo is a sensor mat that slipped under the mattress and can detect movement, breathing, and heart rate during sleep. ",Undisclosed,,Improving Sleep,Personalised sleep remedies,2014,Singapore,,,,,,
Tenzing,https://tenzingnaturalenergy.com/,"Energy drink based in the UK that only has 7 natural ingredients (beet sugar, lemon juice, green coffee, green tea, guarana, himalayan rock salt, indian gooseberry).",Undisclosed,,Energizing,,2015,England,,,,,,
Szent,https://www.drinkszent.com/,"Harnessing the power of the senses we’ve created SZENT - pure water innovated. We’re reinventing the flavor experience using only the scent of all-natural ingredients, nothing more.",Seed,3700000,Energizing,,2017,USA,,,,,,
Runa,https://runa.com/,"Most energy drinks are a cocktail of hard-to-pronounce chemicals. Runa Clean Energy drinks are a natural source of caffeine from a single, hard-to-pronounce leaf: guayusa.",Acquired,10300000,Energizing,,2009,USA,,,,,,
Sunshine Sparkling,https://drinkthesunshine.com/,"Sunshine is the energy drink . It rehydrates, replenishes and reenergizes the body and soul with vitamins, electrolytes and green coffee.",Undisclosed,,Energizing,,2012,USA,,,,,,
Steaz Energy,https://steaz.com/organic-energy/,"Mixing Organic green tea, yerba mate and guarana berries together to create a plant-based, clean boost of organic energy.",Unfunded,,Energizing,,2002,USA,,,,,,
Sambazon,https://www.sambazon.com/products/energy-drinks/,"Producing enery drink powered by yerba mate, green tea and guarana.",Series D,"37,700,000",Energizing,,2000,USA,,,,,,
Scheckter's Organic,https://schecktersorganic.com/,Energy drink made of natural ingredients without any artficial additives.,Undisclosed,,Energizing,,2010,England,,,,,,
Defiance Fuel,https://www.defiancefuel.com/,"Defiance Fuel has been shown to increase cellular hydration, increase cell charge for more energy and endurance and formulated with perfect pH for athletes. Our products are offered exclusively through partner gyms, yoga studios, sports teams, professional athletes, therapy centers, specialty sporting goods stores, and wellness centers which serve those who need our products the most, the professional, the amateur and the everyday athlete. Defiance Fuel has been designed to return your body to a state of healthy hydration, energy and balance. -Pure, refreshing and optimal hydration -Zero calories, Zero sugars, Zero preservatives, Zero sodium",Seed,250000,Energizing,,2019,USA,,,,,,
Foci India,https://www.fociindia.com/,"Conceptualised in Sweden, the founders of Foci wanted to create an intelligent, smart and better alternative to market leading energy drinks without toxins. Foci is an energy drink that increases your mental and physical performance without caffeine, taurine and sugar. In collaboration with experts in nutrition and metabolism we have developed a new type of energy drink. The recipe behind Foci is unique and has the best combination of ingredients that provides increased focus and energy without using caffeine. Foci supports your physical and mental performance without any harmful effects.",Unfunded,,Energizing,,2019,India,,,,,,
Activin T,http://www.getthin.co.uk/,"Activin T is an energy drink brand. Their products include drinks in a variety of types such as trust, burst, smooth and more. The company sells the majority of their products in the UK.",Unfunded,,Energizing,,2009,England,,,,,,
Iceberg,http://www.icebergenergydrink.com/,Iceberg Energy Drink is an energy drink brand. Its product includes energy drink. The company sells its products through its website. The company sells the majority of products in Thailand.,Unfunded,,Energizing,,2017,Thailand,,,,,,
KRa Drinks,https://www.drinkkra.com/,"KRā is an energy and sports drinks brand. Its products include different flavors such as beery, fruit punch, orange, and lemon. It claims that its products are organic, gluten free, caffeine free, and do not contain artificial ingredients or added sugar. Its products are sold online as well as through retailers. The company sells its majority of products in the US.",Seed,425000,Energizing,,2015,USA,,,,,,
Halo Sport,https://halosport.com/,"Halo Sport is a brand of sports drinks in a variety of flavors such as original lemon, pink grapefruit, and lime. The company claims organic and all natural. The company sells their products through retailers as well as through its own online website.",Series A,10800000,Energizing,,2017,USA,,,,,,
Nom Nom Nutrition,https://nomnomfuel.com/,"Nomnom Nutrition provides nutritional beverages. The beverages contain protein, vitamins, minerals, collagen protein, coconut cream, citric acid, ascorbic acid, fruit extracts, and other nutrients. The supplement helps in maintaining health and well-being and providing energy. The beverage is available in variant flavors.",Unfunded,,Energizing,,2014,USA,,,,,,
VitaminEnergy,https://vitaminenergy.com/,"VitaminEnergy provides energy drink shots. The beverage contains antioxidants, vitamin B3-B6-B12, vitamin C, l-carnitine, green tea leaf extract, and citicoline sodium. The drink provides energy, maintains immunity and health.",Unfunded,,Energizing,,2003,USA,,,,,,
Synapse,https://drinksynapse.com/,"Synapse provides energy drinks supplements. The drink contains vitamins, minerals, herbs, and organic compounds. The drink is for memory function, increased focus, and improved mental clarity and also provides the body with physical energy. The company sells its products through its own online website.",Seed,1000000,Energizing,,2016,USA,,,,,,
More Labs,https://www.morelabs.com/,Morning Recovery Drink is an energy drink brand. Their products include morning recovery dietary supplement pitch flavor. The brands are sold through their own online platform and Amazon worldwide.,Series A,8450000,Energizing,Hangover cure,2017,USA,,,,,,
GUAMPA,https://guampa-energy.de/,"GUAMPA Energy provides energy drinks. Their beverages contain vitamins, niacin, pantothenic acid, herbal extracts, and other nutrients. The drinks are meant for focus, energy, and recovery.",Unfunded,,Energizing,,2011,Germany,,,,,,
Pre-Action Essential,https://www.essentialnutrition.com.br/,"Essential Nutrition provides energy and power providing supplement drinks. Their products are available in different flavors like apple, mint, lime, and pineapple. It contains carbohydrates, electrolyte, natural sugar, mineral, vitamins and does not contain gluten, lactose, dyes, and preservatives. Their flagship products are PALATINOSE containing low-glycemic (GI) and insulin, MAGNESIUM TAURATO containing mineral magnesium among others.",Unfunded,,Energizing,Healthy energy drinks,2017,Brazil,,,,,,
Entropy,https://entropydrink.com/,"Nasesati offers energy providing beverage. The drink contains safflower, lemon, carrot, pomegranate, yerba mate extract, ginseng extract, guarana extract, acai extract, goji extract, antioxidants, and caffeine. The drink is meant for maintaining focus, energy, and concentration.",Unfunded,,Energizing,,2010,USA,,,,,,
Crowns Beverage,https://www.crowns-beverage.com/,Crowns Beverage USA provides energy providing beverages. The drink contains elderberry extracts. The drink is available in classic and sugar-free variants.,Unfunded,,Energizing,,2011,USA,,,,,,
YNRC,https://liveynrc.com/,"YNRC is an energy drink brand. Their products include energy drink in a variety of flavors such as watermelon, cucumber, mango, lemonade, grape and more. The company claims that their products are non-GMO, vegan, gluten-free, sugar-free, and caffeine-free.",Unfunded,,Energizing,,2018,USA,,,,,,
GREEN Energy,https://drinkgreenenergy.com/,"Green Energy is energy drink brand. Their products include green tea, coconut water & kale and more. The company claims that their products are organic and nutritious. The company sells the majority of their products in the USA through retailers and independent stores as well as online.",Unfunded,,Energizing,,2017,USA,,,,,,
AMP Energy,https://www.mountaindew.com/mtn-dew-amp-products/,"Amp Energy manufactures and markets energy drinks. Its product offerings include energy drink in flavors such as citrus, grape, tropical burst, cherry blast, strawberry limeade, and pineapple coconut. The energy drinks are made using organic cane sugar, organic caffeine, natural flavors, carbonated water, and citric acid.",Undisclosed,,Energizing,,2001,USA,,,,,,
PREPD,https://prepdhydration.com.au/,"PREPD is a healthcare and nutrition brand. Their products include energy drink for hydration. The company claims that their products are organic, nutritious, and don't contain sugar or any artificial colors and flavors. The company sells the majority of their products in Clovelly Park, SA.",Seed,1000000,Energizing,Energy consumables,2017,Australia,,,,,,
SHARK Energy,https://sharkenergyusa.com/,"SHARK Energy provides energy drinks. The drinks contain natural ingredients, like natural caffeine from coffee bean and contain no gluten or preservatives. The drinks are available in Red Berries and Apple and Melon flavors, along with a sugar-free variant.",Unfunded,,Energizing,,2014,USA,,,,,,
Mad Croc,http://madcroc.com/,"Mad Croc produces and distributes beverages and confection items such as energy drinks, soft fruit chews and chewing gum under the Mad Croc brand name. The key theme of all its products is that the products are specifically designed to deliver energy to consumers. It has partnered with several retailers across USA to stock the product and also sells the products on its website",Undisclosed,,Energizing,Energy consumables,2004,USA,,,,,,
Spring,https://www.myspringenergy.com/,"Myspringenergy provides energy drinks and gels. Their products contain essential fruit extracts, plant oils, microbes for gut support, rice, and nuts and pulse protein. The products are meant to energize, combat GI problems, and hydrate the body.",Unfunded,,Energizing,,2014,USA,,,,,,
Beast Energy Shake,https://www.thebeastenergyshake.com/,"Beast Energy Shake is a superfood brand. Its products include vanilla nut & dutch chocolate. The company claims its products are gluten-free, dairy-free, soy-free & contains plant-based proteins, antioxidants & no artificial flavors. It sells products online. It sells the majority of products in the US.",Unfunded,,Energizing,,2016,USA,,,,,,
4 Purpose Energy,https://www.4purposeenergy.com/,"4 Purpose manufactures organic energy providing beverage. The beverage contains B-complex vitamins, organic caffeine, and organic lemon juice. The drink is available in pomegranate-raspberry and blackberry-peach zero energy flavors.",Unfunded,,Energizing,,2016,USA,,,,,,
Perricone Hydrogen Water,https://www.perriconehydrogenwater.com/,Perricone Hydrogen Water is engaged in manufacturing and marketing of energy drink. Product offered aids in providing instant energy and protection from free radicals. The company sells its products online.,Unfunded,,Energizing,Healthy energy drinks,2016,USA,,,,,,
ONGO Energy,https://ongoenergy.com/,On Go Energy is engaged in manufacturing and marketing of energy shot oral spray. The company claims that the oral energy spray works quicker than the energy drinks. The company sells its product online.,Unfunded,,Energizing,,2006,USA,,,,,,
Hiball Energy,https://hiball.com/,"Hiball Energy is engaged in manufacturing and marketing a range of energy drink products. The company sells energy drinks in 10 variants, a few of which include black cherry, blood orange, grapefruit, wild berry etc. The company is looking to add more flavors to its portfolio in the near future. The company sells its products online as well as through partnering with retailers.",Acquired,,Energizing,,2005,USA,,,,,,
American Rebel,http://www.arenergydrink.com/,"American Rebel is engaged in manufacturing and marketing a natural ingredients based energy drink. Ingredients used to manufacture include caffeine, vitamins, ginseng, ginkgo biloba, inositol, taurine, and guarana. The company sells a 3-gallon bag for the price of $169. The company also sells a cool blue variant for the price of $59 for a one-gallon bag. The company is looking to add more variants of energy drink to its portfolio in the near future.",Unfunded,,Energizing,,2008,USA,,,,,,
Ignitor,https://www.ignitorenergydrink.com/,"Ignitor is engaged in manufacturing and marketing a flavored energy drink product. The company has one marketed product under the brand name Ignitor. Ingredients used to manufacture include plain caramel, guarana extract, l-carnitine, vitamins, inositol, sugar, and flavorings. Benefits include stress reduction, increase in performance and energy levels, improved memory and better immune system. The company is looking to add more products to its portfolio in the near future.",Unfunded,,Energizing,,2012,Japan,,,,,,
Bazi,https://drinkbazi.com/,"Bazi is a natural ingredient based energy shot product. The company claim that the product is made of 8 superfruits with naturally energizing antioxidants and powerful nutrients. The company claims that the product does not contain any preservatives and is extra energized by d-ribose that helps to preserve energy for longer time and recharge faster. As of July 2017, the company sells the product through its online store,",Unfunded,,Energizing,Energy consumables,2006,USA,,,,,,
Avitae,https://goavitae.com/,"Avitae is engaged in manufacturing and marketing natural ingredient based energy drink product. The company sells the product in 11 flavors, a few of which include berry kiwi, mandarian passion fruit, raspberry lime, black cherry etc. The company is looking to launch extended caffeine release drinks in the near future. The company sells its products online as well as through partnering with retail stores.",Series A,15000000,Energizing,,2008,USA,,,,,,
Lucozade Energy,https://www.lucozadeenergy.com/,"Lucozade is engaged in manufacturing and marketing a range of energy drink and sports nutrition products. The company also sells energy drinks in 9 flavors, a few of which include orange, cherry, pink lemonade, pineapple punch etc. The company is looking to add more flavors to its portfolio in the near future. As of June 2017, the company sells its products online.",unfunded,,Energizing,,2013,England,,,,,,
Crunk Energy,https://www.crunkenergy.com/,"CRUNK Energy is engaged in manufacturing and marketing natural herbs based energy drink products. Natural herbs used include ashwagandha, horny goat weed, skullcap, grape seed extract, guarana, white willow bark, ginseng and milk thistle.The company sells the product in 5 flavors which include pomegranate, orange, mango-peach, grape-acai and passion fruit. As of March 2017, the company sells its products online.",Unfunded,,Energizing,,2004,USA,,,,,,
Heka Energy,http://hekaenergy.com/,"Heka Energy is engaged in manufacturing and marketing branded energy drink product at affordable price. The company sells the product in 3 flavors which include twisted orange, blue lightning and red shot. Ingredients used to manufacture include vitamins, arginine, taurine, guarana seed extract, panax ginseng root extract, inositol and caffeine. The company sells the product for a price of $39.97. The company sells its products online as well as through partnering with retail stores.",Unfunded,,Energizing,,2012,USA,,,,,,
Vuka,https://www.vuka.com/,"Vuka is engaged in manufacturing and marketing natural ingredients based energy drinks. The company has one marketed product under the brand name Vuka. The company sells the product in 5 flavors which include pomegranate lychee, berry lemonade, mango peach, starfruit pear and carbonated berry lemonade. Ingredients used to manufacture include natural caffeine, ginseng, vitamins, grape seed extract and l-theanine. The company sells its product online as well as through partnering with retail stores.",Undisclosed,,Energizing,,2008,USA,,,,,,
Revs-up,https://www.revsupherbaldrinks.com/,"Revs-Up is engaged in manufacturing and marketing herbal energy drink products. The company sells the product in 4 flavors, which include mango, peach, mocha and strawberry. Revs-up is made in soy base, goat milk base and water base. Revs-Up soy and goat milk base contain espresso, b6, b12, Eleuthero, green tea extract, and is low in carbs and sugars. As of Jan 2017, the company sells its products online.",Unfunded,,Energizing,,2014,USA,,,,,,
Stream Drinks,https://streamdrinks.com/,"Streamdrinks is engaged in manufacturing and marketing health drinks that harness the power of natural plant extracts, vitamins, and nutritional additives. The Stream range includes Stream – Energize, Stream – Femme, Stream – Focus, Stream – Hydrate, Stream - Vitality, and Stream – Kids",Undisclosed,,Energizing,,2010,South Africa,,,,,,
Zenedge Energy Drink,https://zenedgeusa.com/,"Zenedge is engaged in manufacturing and marketing of branded energy drink. The company has one marketed product as of now. The product contains a blend of vitamins, enzymes, amino acids, and energy boosters. The company sells the product in 3 flavors which include lemon, berry, and zenedge classic",Unfunded,,Energizing,,2008,USA,,,,,,
Limitless Life,https://limitlesshere.com/,Niche substance shop that sells variety of mood enhancing substances with natural ingredients. In particular have an ecstasy (MDMA) substitute called Katy.,Undisclosed,,Creating Euphoria,,2017,USA,,,,,,
Care Of,https://takecareof.com/,Personalised vitamins packs delivered to users based on a set of questions that they answer from a website. Have been backed by Goldman Sachs.,Series B,"42,200,000",Relieving Stress,De-stress Consumables,2016,USA,,,,,,
4 Corners Cannabis,https://4cornerscannabis.com/,Using the extraction method used and the overall delivery of the CBD content helps to enhance the efficacy of the oil.,Undisclosed,,Relieving Stress,,2013,USA,,,,,,
Good Belly,https://goodbelly.com/,NextFoods is a brand of NextFood which makes organic fruit juice drinks. Goodbelly contains 20 billion live and active probiotic cultures per serving to promote digestive health.,Series A,"36,000,000",Energizing,,2006,USA,,,,,,
Mineral Health,https://mineralhealth.co/,MINERAL formulations utilize the entire hemp plant allowing cannabinoids and terpenes to create symbiotic relationships to increase the likelihood of the solution delivering its targeted benefit. They have a sleep-specific solution,Undisclosed,,Improving Sleep,,2016,USA,,,,,,
Multiply Labs,https://multiplylabs.com/,"Multiply labs are engaged in designing customized supplement pill as per individual needs for health, energy, and exercise. The company also claims that the pill is designed as a time-release tablet to provide prolonged effect and the active ingredient is released at specific times throughout the day.",Series A,"2,720,000",Energizing,,2016,USA,,,,,,
Seed,https://seed.com/,Seed has developed synbiotics for simulating the gut microbiome to improve health. The company metabolomic sequencing and has developed a proprietary screening platform for the screening of host mechanistic pathways. ,Unfunded,,Energizing,,2016,USA,,,,,,
Baze,https://www.baze.com/,Baze offers personalised vitamin supplements on a subscription basis. The user can subscribe to a set of personalized vitamin supplements based on the results of the blood tests. The vitamins are delivered daily in packets.,Series A,"6,000,000",Energizing,Day-to-day energy management,2014,Germany,,,,,,
Vital Proteins,https://www.zenamins.com/,"Zen Health provides Zenamins, a personalised health supplements subscription service for vitamins, minerals and other supplements categories. ",Unfunded,,Energizing,,2017,USA,,,,,,
Love Wellness,https://lovewellness.com/,"Love Wellness is engaged in manufacturing and marketing a range of dietary supplements and personal care products. Product categories include infection erasers, probiotic support, vitamin support, and cleansers. ",Unfunded,,Energizing,Unlocking Probiotic,2016,USA,,,,,,
Great HealthWorks,https://www.greathealthworks.com/,"Great HealthWorks is engaged in manufacturing and marketing a range of health and wellness products. The company offers products for various health categories, such as musculoskeletal, women's health, digestive, cardiac, metabolism, men's health, brain and mood energy, vitamins and minerals deficiency, antioxidant, and other special conditions. The company has a portfolio of 48 products, a few of which include Vitamin C, CoQ10, Cinnamon, Candida support etc. ",Unfunded,,Energizing,,2003,USA,,,,,,
EnduroPacks,https://www.enduropacks.com/,"EnduroPacks offers a daily system of essential vitamins and minerals for endurance athletes. Customers receive a monthly pack of essential vitamins and minerals for pre-, during-, and post-workout endurance training. Their system contains a 30 day supply of 4 essential products: a liquid multi-vitamin, a concentrated electrolyte spray, transdermal amino acid patches, and a L-glutamine complex.",Seed,100000,Energizing,,2013,USA,,,,,,
StrideBox,https://stridebox.com/,StrideBox is a monthly subscription service of curated nutrition products for runners and other endurance athletes. It partners with companies and brands that make performance related products to put together a box full of 6-8 product samples that costs around $15 per month.,Unfunded,,Energizing,,2013,USA,,,,,,
Vhnutrition,https://vhnutritionllc.com/collections/herbal-supplements/products/kava-kava-700mg-capsules-piper-methysticum-extract-60-day-supply,VH Nutrition is a cutting edge nutritional supplement company dedicated to creating 100 percent natural products to meet the needs of growing consumer demand for alternatives to prescription medications.,Unfunded,,Relieving Stress,,2010,USA,,,,,,
Inhale Health,https://www.inhalehealth.com,"Inhale Health is a biotechnology company based in Los Angeles, California. It develop inhaled products that delivers positive substances,  and promote to improve your health, wellness, and energy level. It does this via three specific vape pens – one contains B12, the other caffeine, and the third melatonin.",Undisclosed,,Relieving Stress,,2014,USA,,,,,,
